FECHA,HORA, CALLE 26 , CALLE 45 , CALLE 53 , CYT , RESIDENCIAS UNIVERSITARIAS , URIEL GUTIERREZ
05/16/17 , 19:20:03 , 21 , 33 , 22 , 0 , 4 , 21
05/16/17 , 19:20:08 , 21 , 33 , 22 , 0 , 4 , 21
